Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545,5,7,4,23086,1059034,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248,6,6,3,40173,1505891,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
61287,5,8,5,36882,1058988,"9127 Elizabeth Stravenue
Danieltown, WI 06482-3489"
63345,7,5,3,34310,1260617,"USS Barnett
FPO AP 44820"
59982,5,7,4,26354,630944,"USNS Raymond
FPO AE 09386"
80175,4,6,4,26748,1068139,"06039 Jennifer Islands Apt. 443
Tracyport, KS 16077"
64698,6,8,3,60828,1502056,"4759 Daniel Shoals Suite 442
Nguyenburgh, CO 20247"
78394,6,6,2,36516,1573937,"972 Joyce Viaduct
Lake William, TN 17778-6483"
59927,5,6,2,29387,798870,"USS Gilbert
FPO AA 20957"
81885,4,8,6,40149,1545155,"Unit 9446 Box 0958
DPO AE 97025"
80527,8,5,4,47224,1707046,"6368 John Motorway Suite 700
Janetbury, NM 26854"
50593,4,7,4,34343,663733,"911 Castillo Park Apt. 717
Davisborough, PW 78603"
39033,7,7,3,39220,1042815,"209 Natasha Stream Suite 961
Huffmanland, NE 52457"
73163,6,5,2,32326,1291332,"829 Welch Track Apt. 992
North John, AR 26532-5136"
69391,5,8,4,35521,1402819,"PSC 5330, Box 4420
APO AP 08302"
73091,5,8,4,23929,1306675,"2278 Shannon View
North Carriemouth, NM 84617"
79706,5,8,3,39717,1556787,"064 Hayley Unions
Nicholsborough, HI 44161-1887"
61929,4,5,4,24595,528486,"5498 Rachel Locks
New Gregoryshire, PW 54755"
63508,5,7,5,35719,1019426,"Unit 7424 Box 2786
DPO AE 71255"
62085,5,7,5,44922,1030592,"19696 Benjamin Cape
Stephentown, ME 36952-4733"
86294,6,8,4,47560,2146926,"030 Larry Park Suite 665
Thomashaven, HI 87941-5197"
60835,5,6,2,45574,929248,"USNS Brown
FPO AP 85833"
64490,4,5,4,40358,718888,"95198 Ortiz Key
Port Sara, TN 24541-2855"
60697,6,7,6,28140,744000,"9003 Jay Plains Suite 838
Lake Elizabeth, IN 90622-0804"
59748,5,7,4,27809,895738,"24282 Paul Valley
West Perry, MI 03169-5806"
56974,8,7,4,40694,1453975,"61938 Brady Falls
Lewisfort, DE 61227"
82173,4,6,2,38853,1125693,"3599 Ramirez Springs
Jacksonhaven, AZ 72798"
64626,5,6,4,27784,975430,"073 Christopher Falls Suite 882
West Cynthia, MA 89075-2814"
90499,6,4,3,33970,1240764,"6531 Chase Prairie Apt. 245
Susanshire, MN 22365"
59323,6,8,4,37520,1577018,"17124 Johnson Squares
Lake Robertfurt, AL 61811-3832"
77811,5,6,3,33754,1246831,"1359 Mitchell Vista
Courtneyfort, NY 93065-7224"
68652,6,6,4,39355,1170721,"4343 Joshua Lake Suite 096
Pierceview, NV 62614-9110"
55041,7,8,5,30122,1071280,"0057 Jacob Coves Apt. 932
Lake Emily, VA 39465-6041"
50218,6,7,6,16810,534306,"039 Jordan Pike
Emilyville, ID 27442"
55909,5,9,6,22355,936369,"66338 Novak Curve Suite 628
Taylorborough, OK 87142-6766"
74372,5,6,2,39395,1199194,"7167 Angela Park Suite 013
Morrishaven, NH 66937-4811"
78667,5,7,4,27637,1233221,"34964 Sara Fields Apt. 584
Port Raymondville, MO 63585"
78699,5,6,3,22836,1081151,"7585 Lynn Loop
East Judy, WV 73336"
53128,5,5,2,32947,524713,"Unit 1388 Box 9350
DPO AP 70848"
17796,4,6,2,47162,302356,"9932 Eric Circles
Lake Martha, WY 34611-6127"
58566,6,5,2,39705,1026818,"7896 Walker Spring
Loriport, MH 72956"
75537,7,7,6,32778,1762215,"549 Darren Plaza
Lake Kevin, UT 27155"
46147,6,7,4,27161,882058,"90634 Michelle Valleys
North Victoria, WV 99370"
70421,6,7,4,43183,1744933,"580 Lara Neck Apt. 541
Davidsonstad, ID 34638-9802"
62614,5,7,6,26888,1153872,"43087 Jerome Field
West Deborah, SD 49213"
66394,7,7,3,39741,1499989,"71956 Jenkins Fall
Brooketown, PW 67485-0764"
73946,4,7,6,35261,1109589,"8034 Pierce Prairie Suite 727
Devonfurt, NE 33104-8027"
